"Name","Location","Type","Data Type","Namespace","Reference Count"
"CAL_torque_spark_efficiency_Y_ign_retard_from_mbt","4000bc6a","Data Label","u8_angle_1/4deg[16]","Global","2"
"CAL_torque_spark_efficiency","4000bc7a","Data Label","u8_factor_1/255[256]","Global","2"
"CAL_torque_spark_efficiency_slope_X_rpm","4000bd7a","Data Label","u8_rspeed_125/4+500rpm[16]","Global","1"
"CAL_torque_spark_efficiency_slope_Y_load","4000bd8a","Data Label","u8_load_4mg/stroke[16]","Global","1"
"CAL_torque_spark_efficiency_slope","4000bd9a","Data Label","uint8_t[256]","Global","1"
"CAL_ign_comp_coolant_ips_noflags_X_coolant_temp","4000bffa","Data Label","u8_temp_5/8-40c[16]","Global","1"
"CAL_ign_comp_coolant_ips_noflags","4000c00a","Data Label","u8_angle_1/4deg[16]","Global","1"
"CAL_revlimit_speedbase_manual_sport_X_coolant_temp","4000c01a","Data Label","u16_temp_5/8-40c[4]","Global","2"
"CAL_revlimit_speedbase_manual_sport_Y_timer","4000c022","Data Label","u16_time_5ms[4]","Global","2"
"CAL_revlimit_speedbase_manual_sport","4000c02a","Data Label","u16_rspeed_rpm[16]","Global","2"
"CAL_revlimit_speedbase_ips_tour_X_coolant_temp","4000c04a","Data Label","u16_temp_5/8-40c[4]","Global","2"
"CAL_revlimit_speedbase_ips_tour_Y_timer","4000c052","Data Label","u16_time_5ms[4]","Global","2"
"CAL_revlimit_speedbase_ips_tour","4000c05a","Data Label","u16_rspeed_rpm[16]","Global","2"
"CAL_revlimit_speedbase_ips_sport_X_coolant_temp","4000c07a","Data Label","u16_temp_5/8-40c[4]","Global","2"
"CAL_revlimit_speedbase_ips_sport_Y_timer","4000c082","Data Label","u16_time_5ms[4]","Global","2"
"CAL_revlimit_speedbase_ips_sport","4000c08a","Data Label","u16_rspeed_rpm[16]","Global","2"
"CAL_revlimit_coldstart_rpm_envelope_X_index","4000c0aa","Data Label","uint16_t[4]","Global","2"
"CAL_revlimit_coldstart_rpm_envelope","4000c0b2","Data Label","u16_rspeed_rpm[4]","Global","2"
"CAL_idle_comp_carspeed_ips_X_carspeed","4000c0ba","Data Label","u8_speed_kph[8]","Global","1"
"CAL_idle_comp_carspeed_ips","4000c0c2","Data Label","u8_rspeed_4rpm[8]","Global","1"
"CAL_ign_min_engine_off_X_engine_speed","4000c0cb","Data Label","u8_rspeed_125/4+500rpm[3]","Global","1"
"CAL_ign_min_engine_off_Y_load","4000c0ce","Data Label","u8_load_4mg/stroke[3]","Global","1"
"CAL_ign_min_engine_off","4000c0d1","Data Label","u8_angle_1/4-20deg[9]","Global","1"
"CAL_inj_bank_balance_X_engine_speed","4000c0da","Data Label","u8_rspeed_125/4+500rpm[20]","Global","1"
"CAL_inj_bank_balance_Y_load","4000c0ee","Data Label","u8_load_1173mg/255stroke[20]","Global","1"
"CAL_inj_bank_balance","4000c102","Data Label","u8_factor_1/200[400]","Global","1"
"CAL_ign_mbt_modeled_X_engine_speed","4000c292","Data Label","u8_rspeed_125/4+500rpm[20]","Global","1"
"CAL_ign_mbt_modeled_Y_load","4000c2a6","Data Label","u8_load_1173mg/255stroke[20]","Global","1"
"CAL_ign_mbt_modeled","4000c2ba","Data Label","u8_angle_1/4-10deg[400]","Global","1"
"CAL_inj_coldstart_enrichment_X_coolant_temp","4000c49a","Data Label","u8_temp_5/8-40c[8]","Global","1"
"CAL_inj_coldstart_enrichment_Y_maf_accum","4000c4a2","Data Label","uint8_t[8]","Global","1"
"CAL_inj_coldstart_enrichment","4000c4aa","Data Label","uint8_t[64]","Global","1"
"CAL_load_baro_gain_X_rpm","4000c51a","Data Label","u8_rspeed_125/4+500rpm[16]","Global","1"
"CAL_load_baro_gain_Y_load","4000c52a","Data Label","u8_load_4mg/stroke[16]","Global","1"
"CAL_load_baro_gain","4000c53a","Data Label","uint8_t[256]","Global","1"
"CAL_idle_comp_while_moving_X_rpm","4000c63a","Data Label","u16_rspeed_rpm[16]","Global","1"
"CAL_idle_comp_while_moving","4000c65a","Data Label","u16_flow_100mg/s[16]","Global","1"
"CAL_cluster_shiftlight_rpm_offset_ips","4000c67a","Data Label","uint8_t[8]","Global","1"
"CAL_cluster_shiftlight_rpm_offset_ips","4000c682","Data Label","u8_rspeed_8rpm[8]","Global","0"
"CAL_vvt_exhaust_comp_temp_X_coolant_temp","4000c68a","Data Label","u8_temp_5/8-40c[16]","Global","1"
"CAL_vvt_exhaust_comp_temp","4000c69a","Data Label","u8_angle_1/4deg[16]","Global","1"
"CAL_idle_comp_steering_X_steering_load","4000c6aa","Data Label","uint8_t[4]","Global","1"
"CAL_idle_comp_steering","4000c6ae","Data Label","uint8_t[4]","Global","1"
"CAL_ign_comp_coolant_manual_vvt_alt_X_coolant_temp","4000c6b2","Data Label","u8_temp_5/8-40c[16]","Global","1"
"CAL_ign_comp_coolant_manual_vvt_alt","4000c6c2","Data Label","u8_angle_1/4deg[16]","Global","1"
"CAL_ign_comp_coolant_ips_flags_X_coolant_temp","4000c6d2","Data Label","u8_temp_5/8-40c[16]","Global","1"
"CAL_ign_comp_coolant_ips_flags","4000c6e2","Data Label","u8_angle_1/4deg[16]","Global","1"
"CAL_vvt_intake_advance_base_low_load_X_engine_speed","4000c6f2","Data Label","u8_rspeed_125/4+500rpm[6]","Global","3"
"CAL_vvt_intake_advance_base_low_load_Y_load","4000c6f8","Data Label","u8_load_4mg/stroke[6]","Global","3"
"CAL_vvt_intake_advance_base_low_load","4000c6fe","Data Label","u8_angle_1/4deg[36]","Global","1"
"CAL_injtip_dfco_enable_rpm_ips_firstgear_X_coolant","4000c722","Data Label","u8_temp_5/8-40c[4]","Global","1"
"CAL_injtip_dfco_enable_rpm_ips_firstgear","4000c726","Data Label","u8_rspeed_50rpm[4]","Global","1"
"CAL_vvt_exhaust_advance_base_low_load_X_engine_speed","4000c76a","Data Label","u8_rspeed_125/4+500rpm[6]","Global","3"
"CAL_vvt_exhaust_advance_base_low_load_Y_load","4000c770","Data Label","u8_load_4mg/stroke[6]","Global","3"
"CAL_vvt_exhaust_advance_base_low_load","4000c776","Data Label","u8_angle_1/4deg[36]","Global","1"
"CAL_idle_air_control_proportional_X_speed_error","4000c7a2","Data Label","uint16_t[16]","Global","1"
"CAL_idle_air_control_proportional","4000c7c2","Data Label","uint16_t[16]","Global","1"
"CAL_ign_comp_startup_ips_X_coolant_temp_engine_stopped","4000c7e2","Data Label","u16_temp_5/8-40c[4]","Global","1"
"CAL_ign_comp_startup_ips_Y_maf_accumulated","4000c7ea","Data Label","uint16_t[10]","Global","1"
"CAL_ign_comp_startup_ips","4000c7fe","Data Label","i16_angle_1/4deg[40]","Global","1"
"CAL_revlimit_trim_per_gear_X_gear","4000c84e","Data Label","u8_gear[7]","Global","1"
"CAL_revlimit_trim_per_gear","4000c855","Data Label","u8_rspeed_2rpm[7]","Global","1"
"CAL_revlimit_airflow_threshold_X_gear","4000c85c","Data Label","u8_gear[7]","Global","1"
"CAL_revlimit_airflow_threshold","4000c863","Data Label","u8_flow_2g/s[7]","Global","1"
"CAL_ecu_engine_speed_target_tour_X_pps","4000c86a","Data Label","u16_factor_1/1023[10]","Global","1"
"CAL_ecu_engine_speed_target_tour","4000c87e","Data Label","u16_rspeed_1/4rpm[10]","Global","1"
"CAL_idle_error_correction_unknown_X_speed_error","4000c892","Data Label","uint16_t[16]","Global","1"
"CAL_idle_error_correction_unknown","4000c8b2","Data Label","uint16_t[16]","Global","1"
"CAL_dca_tps_limit_manual_X_time","4000c8d2","Data Label","u8_time_50ms[8]","Global","1"
"CAL_dca_tps_limit_manual","4000c8da","Data Label","u8_factor_1/255[8]","Global","1"
"CAL_dca_unknown_ips_nolc_X_time","4000c8e2","Data Label","u8_time_50ms[8]","Global","1"
"CAL_dca_unknown_ips_nolc","4000c8ea","Data Label","u8_factor_1/255[8]","Global","1"
"CAL_idle_comp_misfire_X_failed_cyl_count","4000c8f2","Data Label","uint8_t[8]","Global","1"
"CAL_idle_comp_misfire","4000c8fa","Data Label","u8_flow_g/s[8]","Global","1"
"CAL_dca_tps_limit_ips_x_time","4000c902","Data Label","u8_time_50ms[8]","Global","1"
"CAL_dca_tps_limit_ips","4000c90a","Data Label","u8_factor_1/255[8]","Global","1"
"CAL_tpstarget_tour_shifting_X_pps","4000c912","Data Label","u16_factor_1/1023[16]","Global","1"
"CAL_tpstarget_tour_shifting","4000c932","Data Label","u16_factor_1/1023[16]","Global","1"
"CAL_tpstarget_sport_shifting_X_pps","4000c952","Data Label","u16_factor_1/1023[16]","Global","1"
